model	metric	value_original	value_criteria	red_perc	red_abs
BPR	averagepopularity@10	1146.3572	1146.3572	0	0
CFKG	averagepopularity@10	1115.4498	1115.4498	0	0
CKE	averagepopularity@10	1165.2413	1288.1031	-10.5439	-122.8618
DGCF	averagepopularity@10	1172.6874	1708.7667	-45.7137	-536.0793
DMF	averagepopularity@10	1379.7292	1379.7292	0	0
KGCN	averagepopularity@10	1188.9582	1188.9582	0	0
KGNNLS	averagepopularity@10	1188.8981	1188.8981	0	0
LightGCN	averagepopularity@10	1088.741	1585.7381	-45.6488	-496.9971
LINE	averagepopularity@10	979.498	979.498	0	0
MultiDAE	averagepopularity@10	1137.4597	1219.8457	-7.243	-82.386
NGCF	averagepopularity@10	1201.8831	1359.7681	-13.1365	-157.885
BPR	giniindex@10	0.8839	0.8839	0	0
CFKG	giniindex@10	0.8822	0.8822	0	0
CKE	giniindex@10	0.8894	0.92	-3.4405	-0.0306
DGCF	giniindex@10	0.8992	0.9791	-8.8857	-0.0799
DMF	giniindex@10	0.9443	0.9443	0	0
KGCN	giniindex@10	0.8992	0.8992	0	0
KGNNLS	giniindex@10	0.8992	0.8992	0	0
LightGCN	giniindex@10	0.8759	0.9709	-10.846	-0.095
LINE	giniindex@10	0.8904	0.8904	0	0
MultiDAE	giniindex@10	0.875	0.9016	-3.04	-0.0266
NGCF	giniindex@10	0.9079	0.9397	-3.5026	-0.0318
BPR	ndcg@10	0.2554	0.2554	0	0
CFKG	ndcg@10	0.2402	0.2402	0	0
CKE	ndcg@10	0.2534	0.2515	0.7498	0.0019
DGCF	ndcg@10	0.2613	0.1923	26.4064	0.069
DMF	ndcg@10	0.2289	0.2289	0	0
KGCN	ndcg@10	0.232	0.232	0	0
KGNNLS	ndcg@10	0.2319	0.2319	0	0
LightGCN	ndcg@10	0.2682	0.2064	23.0425	0.0618
LINE	ndcg@10	0.2277	0.2277	0	0
MultiDAE	ndcg@10	0.2633	0.2503	4.9373	0.013
NGCF	ndcg@10	0.2539	0.2433	4.1749	0.0106
BPR	recall@10	0.1635	0.1635	0	0
CFKG	recall@10	0.1526	0.1526	0	0
CKE	recall@10	0.1593	0.1543	3.1387	0.005
DGCF	recall@10	0.1656	0.1112	32.8502	0.0544
DMF	recall@10	0.1432	0.1432	0	0
KGCN	recall@10	0.1422	0.1422	0	0
KGNNLS	recall@10	0.1421	0.1421	0	0
LightGCN	recall@10	0.173	0.1204	30.4046	0.0526
LINE	recall@10	0.1451	0.1451	0	0
MultiDAE	recall@10	0.1799	0.1655	8.0044	0.0144
NGCF	recall@10	0.1586	0.1479	6.7465	0.0107
